推荐顺位,统一社会信用代码,公司名称,企业标准名,所属城市,所属区县,企业类型标签,产业链环节,模型推荐分数,模型预测标签,当前样本标签,天眼评分,企业规模,参保人数,注册资本,上游关键词命中数,中游关键词命中数,下游关键词命中数,panel_patent_growth,panel_patent_avg,panel_years_covered,推荐理由,建议动作,产业链判定依据,经营范围,企业简介,官网
1,91440000730486030B,广东电网有限责任公司,广东电网有限责任公司,广州市,越秀区,投资发展类,下游,0.999463,是,是,,大型,81991,6683762.751421万人民币,,,,2835.0,349.2,27.0,位于广州市低空经济活跃区域；处于下游环节；注册资本为6683762.751421万人民币；参保人数达到81991人,纳入候选白名单并进入图谱人工核验,服务、培训,投资、建设和经营管理广东电网，经营相关的输配电业务；参与投资、建设和经营相关的跨区域输变电和联网工程；从事电力购销业务，负责电力交易和调度；电力设备、电力器材的销售、调试、检测及试验；从事与电网经营和电力供应有关的科学研究、技术监督、技术开发、电力生产调度信息通信、咨询服务、电力教育和业务培训。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,广东电网有限责任公司 (曾用名：广东电网公司) ，成立于2001年，中国南方电网成员，位于广东省广州市，是一家以从事电力、热力生产和供应业为主的企业。企业注册资本6683762.751421万人民币，超过了100%的广东省同行，实缴资本6683762.7514万人民币。,http://www.gd.csg.cn
2,914403001922038216,华为技术有限公司,华为技术有限公司,深圳市,龙岗区,服务平台类,中游,0.999175,是,是,,大型,58435,4104113.182万人民币,,,,135.0,86.4,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为4104113.182万人民币；参保人数达到58435人,纳入候选白名单并进入图谱人工核验,系统集成,一般经营项目：程控交换机、传输设备、数据通信设备、宽带多媒体设备、电源、无线通信设备、微电子产品、软件、系统集成工程、计算机及配套设备、终端设备及相关通信信息产品、数据中心机房基础设施及配套产品（含供配电、空调制冷设备、智能管理监控等）的开发、生产、销售、技术服务、工程安装、维修、咨询、代理、租赁；信息系统设计、集成、运行维护；集成电路设计、研发；统一通信及协作类产品，服务器及配套软硬件产品，存储设备及相关软件的研发、生产、销售；无线数据产品（不含限制项目）的研发、生产、销售；通信站点机房基础设施及通信配套设备（含通信站点、通信机房、通信电源、机柜、天线、通信线缆、配电、智能管理监控、锂电及储能系统等）的研发、生产、销售；能源科学技术研究及能源相关产品的研发、生产、销售；大数据产品、物联网及通信相关领域产品的研发、生产、销售；汽车零部件及智能系统的研发、生产、销售及服务；建筑工程；设计、制作、发布、代理各类广告；通信设备租赁（不含限制项目）；培训服务；技术认证服务；信息咨询（不含限制项目）；企业管理咨询（不含限制项目）；进出口业务；国内商业、物资供销业业务（不含专营、专控、专卖商品）；对外经济技术合作业务；房屋租赁业务（持许可经营证）；以及其他法律法规不禁止的经营活动（依法须经批准的项目，经相关部门批准后方可开展经营活动）。许可经营项目：增值电信业务经营。,华为技术有限公司 (曾用名：深圳市华为技术有限公司) ，成立于1987年，华为成员，位于广东省深圳市，是一家以从事计算机、通信和其他电子设备制造业为主的企业。企业注册资本4104113.182万人民币，超过了100%的广东省同行，实缴资本4084113.182万人民币。,-
3,91440300671877217N,深城交科技集团股份有限公司,深城交科技集团股份有限公司,深圳市,龙华区,投资发展类,中游,0.999163,是,是,,大型,724,52728万人民币,,,,621.0,41.4,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为52728万人民币；参保人数达到724人,纳入候选白名单并进入图谱人工核验,系统集成,一般经营项目：交通规划设计研究（含专项调查）；城市规划与建筑设计；会务服务；自有物业租赁。（企业经营涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；信息系统运行维护服务；物联网技术研发；物联网设备销售；物联网技术服务；大数据服务；工程管理服务；以自有资金从事投资活动。信息技术咨询服务；软件开发；自有资金投资的资产管理服务；货物进出口；技术进出口；软件销售；信息系统集成服务；企业管理咨询。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：对外承包工程；建设工程施工。建设工程勘察；建设工程设计；建筑智能化系统设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,深城交科技集团股份有限公司，成立于2008年，深圳市智慧城市科技发展集团成员，位于广东省深圳市，是一家以从事专业技术服务业为主的企业。企业注册资本52728万人民币，超过了99%的广东省同行，实缴资本52728万人民币，并已于2021年完成了IPO上市，交易金额14.6亿人民币。,http://www.sutpc.com
4,91440300192317458F,比亚迪股份有限公司,比亚迪股份有限公司,深圳市,龙岗区,服务平台类,下游,0.999119,是,是,,大型,2625,911719.7565万人民币,,,,945.0,109.8,27.0,位于深圳市低空经济活跃区域；处于下游环节；注册资本为911719.7565万人民币；参保人数达到2625人,纳入候选白名单并进入图谱人工核验,服务、交通,一般经营项目：无。许可经营项目：锂离子电池以及其他电池、充电器、电子产品、仪器仪表、柔性线路板、五金制品、液晶显示器、手机零配件、模具、塑胶制品及其相关附件的生产、销售；3D眼镜、GPS导航产品的研发、生产及销售；货物及技术进出口（不含分销、国家专营专控商品）；作为比亚迪汽车有限公司比亚迪品牌乘用车、电动车的总经销商，从事上述品牌的乘用车、电动车及其零部件的营销、批发和出口，提供售后服务；电池管理系统、换流柜、逆变柜/器、汇流箱、开关柜、储能机组的销售；汽车电子装置研发、销售；新能源汽车关键零部件研发以及上述零部件的关键零件、部件的研发、销售；轨道交通运输设备（含轨道交通车辆、工程机械、各类机电设备、电子设备及零部件、电子电气件、轨道交通信号系统、通信及综合监控系统与设备）的研发、设计、销售、租赁与售后服务（不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项管理的商品，按国家有关规定办理申请）；轨道梁柱的研发、设计、销售；自有物业租赁（物业位于大鹏新区葵涌街道延安路一号比亚迪工业园内及龙岗区龙岗街道宝龙工业城宝荷路3001号比亚迪工业园内）；广告设计、制作、代理及发布；信息与技术咨询、技术服务。,比亚迪股份有限公司 (曾用名：深圳市比亚迪实业有限公司) ，成立于1995年，比亚迪成员，位于广东省深圳市，是一家以从事汽车制造业为主的企业。企业注册资本911719.7565万人民币，超过了99%的广东省同行，实缴资本911719.8万人民币，并已于2025年完成了定向增发，交易金额433.83亿港元。,https://www.bydglobal.com/en/index.html
5,91440000190345797E,南方电网电力科技股份有限公司,南方电网电力科技股份有限公司,广州市,越秀区,产业运营类,中游,0.998989,是,是,,大型,427,56470万人民币,,,,270.0,23.4,27.0,位于广州市低空经济活跃区域；处于中游环节；注册资本为56470万人民币；参保人数达到427人,纳入候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、系统集成,工程和技术研究和试验发展;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;储能技术服务;电池制造;电池销售;计量服务;人工智能行业应用系统集成服务;信息系统集成服务;海上风电相关系统研发;碳减排、碳转化、碳捕捉、碳封存技术研发;在线能源监测技术研发;机械电气设备制造;电气机械设备销售;智能机器人的研发;特殊作业机器人制造;智能机器人销售;输配电及控制设备制造;智能输配电及控制设备销售;数字视频监控系统制造;数字视频监控系统销售;安全系统监控服务;终端计量设备制造;终端计量设备销售;智能无人飞行器制造;智能无人飞行器销售;海洋工程装备研发;智能仪器仪表制造;智能仪器仪表销售;专用设备制造（不含许可类专业设备制造）;汽车销售;新兴能源技术研发;海洋工程装备制造;海洋工程装备销售;软件开发;软件销售;物业管理;住房租赁;货物进出口;技术进出口;集成电路设计;集成电路芯片及产品销售;集成电路芯片及产品制造;集成电路芯片设计及服务;检验检测服务,南方电网电力科技股份有限公司 (曾用名：广东电科院能源技术有限责任公司) ，成立于1988年，中国南方电网成员，位于广东省广州市，是一家以从事专业技术服务业为主的企业。企业注册资本56470万人民币，超过了99%的广东省同行，实缴资本56470万人民币，并已于2021年完成了IPO上市，交易金额10.37亿人民币。,http://www.csg.cn
6,91440106593721849Y,广州极飞科技股份有限公司,广州极飞科技股份有限公司,广州市,黄埔区,产业运营类,中游,0.998693,是,是,,大型,649,34139.8387万人民币,,,,756.0,345.6,27.0,位于广州市低空经济活跃区域；处于中游环节；注册资本为34139.8387万人民币；参保人数达到649人,纳入候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、系统集成,技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;农业科学研究和试验发展;农业机械服务;农业机械销售;机械设备销售;智能农机装备销售;农作物病虫害防治服务;农业园艺服务;计算机软硬件及辅助设备批发;电子元器件批发;电子产品销售;农业机械租赁;智能无人飞行器制造;智能无人飞行器销售;智能机器人的研发;工业机器人安装、维修;农林牧副渔业专业机械的安装、维修;工业机器人销售;智能机器人销售;互联网销售（除销售需要许可的商品）;大数据服务;软件开发;信息系统集成服务;软件销售;人工智能基础软件开发;人工智能应用软件开发;人工智能理论与算法软件开发;电力电子元器件制造;特殊作业机器人制造;会议及展览服务;信息技术咨询服务;业务培训（不含教育培训、职业技能培训等需取得许可的培训）;特种作业人员安全技术培训;肥料销售;工业机器人制造;服务消费机器人制造;人工智能硬件销售;通用设备修理;农林牧渔机械配件销售;机械零件、零部件销售;发电机及发电机组销售;日用品销售;农副产品销售;谷物销售;办公用品销售;仪器仪表销售;玩具销售;食品互联网销售（仅销售预包装食品）;服装服饰零售;箱包销售;食用农产品初加工;服装服饰批发;礼品花卉销售;日用玻璃制品销售;体育用品及器材批发;针纺织品及原料销售;货物进出口;技术进出口;农药零售;农药批发;废弃电器电子产品处理,广州极飞科技股份有限公司 (曾用名：广州极飞科技有限公司) ，成立于2012年，极飞科技成员，位于广东省广州市，是一家以从事科技推广和应用服务业为主的企业。企业注册资本34139.8387万人民币，超过了99%的广东省同行，实缴资本15426.1094万人民币，并已于2025年完成了E轮。,https://www.xa.com
7,914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市,南山区,服务平台类,中游,0.998253,是,是,,大型,5965,3000万人民币,,,,0.0,439.2,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为3000万人民币；参保人数达到5965人,纳入候选白名单并进入图谱人工核验,航空、航空器,一般经营项目：航空电子设备、自动控制设备、无人驾驶航空器、无线电数据传输系统、电子元器件、计算机软件的生产（由分公司经营）及其应用的技术开发、批发、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项规定管理的商品，按国家有关规定办理申请）；软件技术信息咨询；教育信息咨询。智能机器人的研发；机械设备研发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：无。,深圳市大疆创新科技有限公司，成立于2006年，大疆创新成员，位于广东省深圳市，是一家以从事计算机、通信和其他电子设备制造业为主的企业。企业注册资本3000万人民币，超过了97%的广东省同行，实缴资本3000万人民币，并已于2018年完成了战略融资，交易金额10亿美元。,https://store.dji.com/cn
8,91440300279392266B,深圳市科卫泰实业发展有限公司,深圳市科卫泰实业发展有限公司,深圳市,宝安区,投资发展类,中游,0.997993,是,是,,小型,174,6835万人民币,,,,135.0,25.2,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为6835万人民币；参保人数达到174人,纳入候选白名单并进入图谱人工核验,航空、航空器、测绘、系统集成,一般经营项目：投资兴办实业（具体项目另行申报）；安全技术防范产品、无人驾驶航空器和微波通信产品的技术开发、销售、租赁、技术咨询服务；电脑周边设备及配件的销售；汽车销售；计算机软硬件产品开发、销售、系统集成；国内贸易，货物及技术进出口；应急救援、安全防护，电磁对抗、智能安防、生物识别、光学观察、侦察测绘、网络安全/攻防、信息保护设备的销售及技术服务；音视频编解码技术及5G应用的研发、销售及技术服务。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；电池制造；电池销售。业务培训（不含教育培训、职业技能培训等需取得许可的培训）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：安全技术防范产品、无人驾驶航空器和微波通信产品的工程安装及生产；音视频编解码技术及5G应用的生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,深圳市科卫泰实业发展有限公司，成立于1997年，位于广东省深圳市，是一家以从事计算机、通信和其他电子设备制造业为主的企业。企业注册资本6835万人民币，超过了97%的广东省同行，实缴资本4175万人民币，并已于2025年完成了战略融资，交易金额1.04亿人民币。,https://www.keweitai.com
9,91440300687582704U,顺丰科技有限公司,顺丰科技有限公司,深圳市,南山区,服务平台类,中游,0.997202,是,是,,大型,2538,6000万人民币,,,,0.0,7.2,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为6000万人民币；参保人数达到2538人,纳入候选白名单并进入图谱人工核验,无人机、系统集成,一般经营项目：从事网络技术、信息技术、电子产品技术的开发、技术服务、技术咨询、技术转让；计算机硬件开发与销售；企业形象策划、信息咨询;无人机研发、销售、租赁（不含限制项目），经营进出口业务；从事计算机软硬件的技术开发、销售自行开发的软件；计算机技术服务及信息咨询；计算机硬件的研发、销售；电子产品设计；运输设备、自动化设备、物流业设备、分拣设备、传输设备、数据通信设备、无线通信设备，微电子产品，系统集成工程，计算机及配套设备、终端设备及相关的设备的技术开发、销售及上门维修、技术咨询；房屋租赁；企业管理咨询；安检设备销售、租赁（以上根据法律、行政法规、国务院决定等规定需要审批的，依法取得相关审批文件后方可经营）。机械设备租赁；仓储设备租赁服务。道路货物运输站经营；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：运输设备，自动化设备，分拣设备，物流业设备，传输设备，数据通信设备、无线通信设备，微电子产品，系统集成工程，计算机及配套设备，终端设备及相关的设备的生产。经营增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,顺丰科技有限公司 (曾用名：深圳市泰海科技有限公司) ，成立于2009年，顺丰控股成员，位于广东省深圳市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本6000万人民币，超过了99%的广东省同行，实缴资本6000万人民币。,https://www.sf-tech.com.cn
10,914403000589938852,深圳市大疆灵眸科技有限公司,深圳市大疆灵眸科技有限公司,深圳市,南山区,服务平台类,中游,0.997086,是,是,,中型,25,51000万人民币,,,,0.0,10.8,27.0,位于深圳市低空经济活跃区域；处于中游环节；注册资本为51000万人民币,纳入候选白名单并进入图谱人工核验,无人机,影像设备及相关配套软件的技术开发及销售；从事计算机信息科技领域内的技术开发、技术转让、技术咨询、技术服务；展览展示服务；会务服务；电子设备、自动化控制设备、数码影像设备及相关零附件、计算机、软件及辅助设备（除计算机信息系统安全专用产品）的批发；无人机及相关软件及配件的技术开发、销售、租赁及批发；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。^,深圳市大疆灵眸科技有限公司 (曾用名：深圳市雷炽科技有限公司) ，成立于2012年，大疆创新成员，位于广东省深圳市，是一家以从事批发业为主的企业。企业注册资本51000万人民币，超过了99%的广东省同行，实缴资本30000万人民币。,-
