推荐顺位,统一社会信用代码,公司名称,模型推荐分数,模型预测标签,当前样本标签,所属城市,所属区县,企业类型标签,产业链环节,天眼评分,企业规模,参保人数,注册资本,推荐理由,建议动作,产业链判定依据,经营范围
1,91440300671877217N,深城交科技集团股份有限公司,0.9998952,是,是,深圳市,龙华区,投资发展类,中游,,大型,724,52728万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,系统集成,一般经营项目：交通规划设计研究（含专项调查）；城市规划与建筑设计；会务服务；自有物业租赁。（企业经营涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；信息系统运行维护服务；物联网技术研发；物联网设备销售；物联网技术服务；大数据服务；工程管理服务；以自有资金从事投资活动。信息技术咨询服务；软件开发；自有资金投资的资产管理服务；货物进出口；技术进出口；软件销售；信息系统集成服务；企业管理咨询。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：对外承包工程；建设工程施工。建设工程勘察；建设工程设计；建筑智能化系统设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
2,91440000730486030B,广东电网有限责任公司,0.9998795,是,是,广州市,越秀区,投资发展类,下游,,大型,81991,6683762.751421万人民币,GraphSAGE评分高；位于广州市；处于下游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,服务、培训,投资、建设和经营管理广东电网，经营相关的输配电业务；参与投资、建设和经营相关的跨区域输变电和联网工程；从事电力购销业务，负责电力交易和调度；电力设备、电力器材的销售、调试、检测及试验；从事与电网经营和电力供应有关的科学研究、技术监督、技术开发、电力生产调度信息通信、咨询服务、电力教育和业务培训。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓
3,91440106593721849Y,广州极飞科技股份有限公司,0.99977094,是,是,广州市,黄埔区,产业运营类,中游,,大型,649,34139.8387万人民币,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、系统集成,技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;农业科学研究和试验发展;农业机械服务;农业机械销售;机械设备销售;智能农机装备销售;农作物病虫害防治服务;农业园艺服务;计算机软硬件及辅助设备批发;电子元器件批发;电子产品销售;农业机械租赁;智能无人飞行器制造;智能无人飞行器销售;智能机器人的研发;工业机器人安装、维修;农林牧副渔业专业机械的安装、维修;工业机器人销售;智能机器人销售;互联网销售（除销售需要许可的商品）;大数据服务;软件开发;信息系统集成服务;软件销售;人工智能基础软件开发;人工智能应用软件开发;人工智能理论与算法软件开发;电力电子元器件制造;特殊作业机器人制造;会议及展览服务;信息技术咨询服务;业务培训（不含教育培训、职业技能培训等需取得许可的培训）;特种作业人员安全技术培训;肥料销售;工业机器人制造;服务消费机器人制造;人工智能硬件销售;通用设备修理;农林牧渔机械配件销售;机械零件、零部件销售;发电机及发电机组销售;日用品销售;农副产品销售;谷物销售;办公用品销售;仪器仪表销售;玩具销售;食品互联网销售（仅销售预包装食品）;服装服饰零售;箱包销售;食用农产品初加工;服装服饰批发;礼品花卉销售;日用玻璃制品销售;体育用品及器材批发;针纺织品及原料销售;货物进出口;技术进出口;农药零售;农药批发;废弃电器电子产品处理
4,91440300192317458F,比亚迪股份有限公司,0.99941766,是,是,深圳市,龙岗区,服务平台类,下游,,大型,2625,911719.7565万人民币,GraphSAGE评分高；位于深圳市；处于下游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,服务、交通,一般经营项目：无。许可经营项目：锂离子电池以及其他电池、充电器、电子产品、仪器仪表、柔性线路板、五金制品、液晶显示器、手机零配件、模具、塑胶制品及其相关附件的生产、销售；3D眼镜、GPS导航产品的研发、生产及销售；货物及技术进出口（不含分销、国家专营专控商品）；作为比亚迪汽车有限公司比亚迪品牌乘用车、电动车的总经销商，从事上述品牌的乘用车、电动车及其零部件的营销、批发和出口，提供售后服务；电池管理系统、换流柜、逆变柜/器、汇流箱、开关柜、储能机组的销售；汽车电子装置研发、销售；新能源汽车关键零部件研发以及上述零部件的关键零件、部件的研发、销售；轨道交通运输设备（含轨道交通车辆、工程机械、各类机电设备、电子设备及零部件、电子电气件、轨道交通信号系统、通信及综合监控系统与设备）的研发、设计、销售、租赁与售后服务（不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项管理的商品，按国家有关规定办理申请）；轨道梁柱的研发、设计、销售；自有物业租赁（物业位于大鹏新区葵涌街道延安路一号比亚迪工业园内及龙岗区龙岗街道宝龙工业城宝荷路3001号比亚迪工业园内）；广告设计、制作、代理及发布；信息与技术咨询、技术服务。
5,91440300687582704U,顺丰科技有限公司,0.99900997,是,是,深圳市,南山区,服务平台类,中游,,大型,2538,6000万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,无人机、系统集成,一般经营项目：从事网络技术、信息技术、电子产品技术的开发、技术服务、技术咨询、技术转让；计算机硬件开发与销售；企业形象策划、信息咨询;无人机研发、销售、租赁（不含限制项目），经营进出口业务；从事计算机软硬件的技术开发、销售自行开发的软件；计算机技术服务及信息咨询；计算机硬件的研发、销售；电子产品设计；运输设备、自动化设备、物流业设备、分拣设备、传输设备、数据通信设备、无线通信设备，微电子产品，系统集成工程，计算机及配套设备、终端设备及相关的设备的技术开发、销售及上门维修、技术咨询；房屋租赁；企业管理咨询；安检设备销售、租赁（以上根据法律、行政法规、国务院决定等规定需要审批的，依法取得相关审批文件后方可经营）。机械设备租赁；仓储设备租赁服务。道路货物运输站经营；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：运输设备，自动化设备，分拣设备，物流业设备，传输设备，数据通信设备、无线通信设备，微电子产品，系统集成工程，计算机及配套设备，终端设备及相关的设备的生产。经营增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
6,914403001922038216,华为技术有限公司,0.99874216,是,是,深圳市,龙岗区,服务平台类,中游,,大型,58435,4104113.182万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,系统集成,一般经营项目：程控交换机、传输设备、数据通信设备、宽带多媒体设备、电源、无线通信设备、微电子产品、软件、系统集成工程、计算机及配套设备、终端设备及相关通信信息产品、数据中心机房基础设施及配套产品（含供配电、空调制冷设备、智能管理监控等）的开发、生产、销售、技术服务、工程安装、维修、咨询、代理、租赁；信息系统设计、集成、运行维护；集成电路设计、研发；统一通信及协作类产品，服务器及配套软硬件产品，存储设备及相关软件的研发、生产、销售；无线数据产品（不含限制项目）的研发、生产、销售；通信站点机房基础设施及通信配套设备（含通信站点、通信机房、通信电源、机柜、天线、通信线缆、配电、智能管理监控、锂电及储能系统等）的研发、生产、销售；能源科学技术研究及能源相关产品的研发、生产、销售；大数据产品、物联网及通信相关领域产品的研发、生产、销售；汽车零部件及智能系统的研发、生产、销售及服务；建筑工程；设计、制作、发布、代理各类广告；通信设备租赁（不含限制项目）；培训服务；技术认证服务；信息咨询（不含限制项目）；企业管理咨询（不含限制项目）；进出口业务；国内商业、物资供销业业务（不含专营、专控、专卖商品）；对外经济技术合作业务；房屋租赁业务（持许可经营证）；以及其他法律法规不禁止的经营活动（依法须经批准的项目，经相关部门批准后方可开展经营活动）。许可经营项目：增值电信业务经营。
7,91440300306077254B,深圳市道通智能航空技术股份有限公司,0.9987379,是,是,深圳市,南山区,服务平台类,中游,,大型,0,36557.5425万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,飞行器、航空、智能无人飞行器、航空器,一般经营项目：民用航空电子设备、自动控制设备、民用无人驾驶航空器、无线电数据传输系统、拍摄装备、摄像机产品、电子元器件、计算机软件应用的技术开发、批发；经营进出口业务；软件技术信息咨询; 房屋租赁，物业管理，水电暖供应，通信管网出租及维护。智能无人飞行器制造；智能无人飞行器销售；信息技术咨询服务。租赁服务（不含许可类租赁服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：民用航空电子设备、自动控制设备、民用无人驾驶航空器、无线电数据传输系统、拍摄装备、摄像机产品、电子元器件、计算机软件的生产 。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
8,914403000589938852,深圳市大疆灵眸科技有限公司,0.99869955,是,是,深圳市,南山区,服务平台类,中游,,中型,25,51000万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,无人机,影像设备及相关配套软件的技术开发及销售；从事计算机信息科技领域内的技术开发、技术转让、技术咨询、技术服务；展览展示服务；会务服务；电子设备、自动化控制设备、数码影像设备及相关零附件、计算机、软件及辅助设备（除计算机信息系统安全专用产品）的批发；无人机及相关软件及配件的技术开发、销售、租赁及批发；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。^
9,914403007954257495,深圳市大疆创新科技有限公司,0.9984725,是,是,深圳市,南山区,服务平台类,中游,,大型,5965,3000万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,航空、航空器,一般经营项目：航空电子设备、自动控制设备、无人驾驶航空器、无线电数据传输系统、电子元器件、计算机软件的生产（由分公司经营）及其应用的技术开发、批发、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项规定管理的商品，按国家有关规定办理申请）；软件技术信息咨询；教育信息咨询。智能机器人的研发；机械设备研发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：无。
10,91440000190345797E,南方电网电力科技股份有限公司,0.99814,是,是,广州市,越秀区,产业运营类,中游,,大型,427,56470万人民币,GraphSAGE评分高；位于广州市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、系统集成,工程和技术研究和试验发展;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;储能技术服务;电池制造;电池销售;计量服务;人工智能行业应用系统集成服务;信息系统集成服务;海上风电相关系统研发;碳减排、碳转化、碳捕捉、碳封存技术研发;在线能源监测技术研发;机械电气设备制造;电气机械设备销售;智能机器人的研发;特殊作业机器人制造;智能机器人销售;输配电及控制设备制造;智能输配电及控制设备销售;数字视频监控系统制造;数字视频监控系统销售;安全系统监控服务;终端计量设备制造;终端计量设备销售;智能无人飞行器制造;智能无人飞行器销售;海洋工程装备研发;智能仪器仪表制造;智能仪器仪表销售;专用设备制造（不含许可类专业设备制造）;汽车销售;新兴能源技术研发;海洋工程装备制造;海洋工程装备销售;软件开发;软件销售;物业管理;住房租赁;货物进出口;技术进出口;集成电路设计;集成电路芯片及产品销售;集成电路芯片及产品制造;集成电路芯片设计及服务;检验检测服务
11,91440300279392266B,深圳市科卫泰实业发展有限公司,0.9974874,是,是,深圳市,宝安区,投资发展类,中游,,小型,174,6835万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,航空、航空器、测绘、系统集成,一般经营项目：投资兴办实业（具体项目另行申报）；安全技术防范产品、无人驾驶航空器和微波通信产品的技术开发、销售、租赁、技术咨询服务；电脑周边设备及配件的销售；汽车销售；计算机软硬件产品开发、销售、系统集成；国内贸易，货物及技术进出口；应急救援、安全防护，电磁对抗、智能安防、生物识别、光学观察、侦察测绘、网络安全/攻防、信息保护设备的销售及技术服务；音视频编解码技术及5G应用的研发、销售及技术服务。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；电池制造；电池销售。业务培训（不含教育培训、职业技能培训等需取得许可的培训）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：安全技术防范产品、无人驾驶航空器和微波通信产品的工程安装及生产；音视频编解码技术及5G应用的生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
12,91440300MA5FA4QL2L,丰翼科技(深圳)有限公司,0.99746263,是,是,深圳市,宝安区,服务平台类,中游,,小型,135,4285.7144万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,无人机、飞行器、航空、智能无人飞行器、航空器,一般经营项目：计算机软件研发；系统集成的技术转让，技术咨询，技术服务；销售电子产品；无人机研发、销售、租赁及上门维修，经营进出口业务（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。软件开发；信息系统集成服务；电子产品销售；智能无人飞行器销售；智能输配电及控制设备销售；人工智能行业应用系统集成服务；人工智能应用软件开发；人工智能硬件销售；智能机器人的研发；智能物料搬运装备销售；工业机器人销售；仓储设备租赁服务；供应链管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：生产计算机软件；电子产品，无人机的生产。工业机器人安装、维修；普通货物仓储服务（不含危险化学品等需许可审批的项目）；工业机器人制造；智能无人飞行器制造；输配电及控制设备制造；通用航空服务；技术进出口；快递服务；民用航空器零部件设计和生产；民用航空器（发动机、螺旋桨）生产；汽车销售。第二类增值电信业务；民用航空器驾驶员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
13,914403007787549030,深圳市好盈科技股份有限公司,0.99700123,是,是,深圳市,龙岗区,投资发展类,中游,,中型,406,5855万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,飞行器、智能无人飞行器、控制系统,电子控制产品的技术开发及销售；投资兴办实业（具体项目另行申报）；经营进出口业务。电子元器件与机电组件设备销售；智能无人飞行器销售；智能无人飞行器制造；电机制造；电机及其控制系统研发；微特电机及组件制造；计算机软硬件及外围设备制造；智能家庭消费设备制造；非公路休闲车及零配件制造；工业自动控制系统装置制造；电力电子元器件制造；专用设备制造（不含许可类专业设备制造）。户外用品销售；体育消费用智能设备制造；体育用品及器材制造；体育用品及器材批发；体育用品及器材零售；体育用品设备出租；娱乐船和运动船销售；娱乐船和运动船制造；机械设备研发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
14,91440300319491403H,哈瓦国际航空技术(深圳)有限公司,0.9967399,是,是,深圳市,龙华区,服务平台类,中游,,小型,70,3510.1885万人民币,GraphSAGE评分高；位于深圳市；处于中游环节；适合优先核验,纳入GraphSAGE候选白名单并进入图谱人工核验,无人机、航空、航空器、测绘、遥感,无人机控制系统、智能任务载荷吊舱云台系统、机器人控制系统、北斗、GPS应用系统、无线图像传输系统、无人控制系统、无人驾驶航空器、航拍影视器材、航空电子设备、计算机软件、计算机及测量仪器仪表、人工智能设备、警用装备器材、消防设备器材的开发、销售、技术服务；测绘航空摄影、摄影测量与遥感、通信与自动控制技术、信息系统集成开发、销售、技术服务，并为行业客户提供数据应用及系统解决方案；无人机驾驶培训（仅限兴趣培训；不含学历教育、学科类培训及职业技能培训，法律、行政法规及国务院规定需办理审批的，审批后方可经营）；国内贸易；经营进出口业务。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）。无人机控制系统、智能任务载荷吊舱云台系统、机器人控制系统、北斗、GPS 应用系统、无线图像传输系统、无人控制系统无人驾驶航空器、航拍影视器材、航空电子设备、计算机软件、警用装备器材、消防设备器材、人工智能设备的研发与生产。租赁服务（不含许可类租赁服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）^广播电视节目制作经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
